127.0.0.1 - - [03/Jul/2020:15:55:13 +0900] "GET / HTTP/1.1" 404 807
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:13 +0900] "GET /CssEx/Ch06/601.html HTTP/1.1" 200 425
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:13 +0900] "GET /CssEx/Ch06/media/apple.png HTTP/1.1" 200 14599
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:14 +0900] "GET /favicon.ico HTTP/1.1" 404 818
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:26 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
0:0:0:0:0:0:0:1 - - [03/Jul/2020:15:55:27 +0900] "GET /CssEx/Ch06/media/banaba.png HTTP/1.1" 404 846
